producto;grupo;alfa;gamma;rho;theta
producto_1;alto;0,02000000;1,00000000;6555,40299686;126,45219186
producto_1;bajo;0,02000000;0,66000000;6028,39924700;109,02888260
producto_1;medio;0,02000000;0,84000000;6112,47901767;330,18252378
producto_2;alto;0,02000000;1,00000000;13877,45532812;107,60745992
producto_2;bajo;0,02000000;0,66000000;12864,75112992;75,67192631
producto_2;medio;0,02000000;0,82000000;13297,58980640;430,50936469
producto_3;alto;0,02000000;1,00000000;12205,40656201;116,53704112
producto_3;bajo;0,02000000;0,64000000;10867,53933231;78,78012141
producto_3;medio;0,02000000;0,81000000;11491,07160175;358,54144030
producto_4;alto;0,02000000;1,00000000;8046,28154754;408,57720159
producto_4;bajo;0,02000000;0,77000000;7033,16450252;189,50948892
producto_4;medio;0,02000000;0,88000000;8176,03799294;36893,62616351
producto_5;alto;0,02000000;1,00000000;23066,72788461;117,74928866
producto_5;bajo;0,02000000;0,61000000;20861,20506602;88,77730282
producto_5;medio;0,02000000;0,78000000;21444,22545174;287,48040029
producto_6;alto;0,02000000;1,00000000;9948,62927335;346,86748253
producto_6;bajo;0,02000000;0,72000000;9356,46681920;85,22732944
producto_6;medio;0,02000000;0,89000000;9189,36387649;1011,35525646
producto_7;alto;0,02000000;1,00000000;37292,12750060;237,76265819
producto_7;bajo;0,02000000;0,71000000;40927,03743458;116,43173006
producto_7;medio;0,02000000;0,86000000;39517,19613910;600,63024965
producto_8;alto;0,02000000;1,00000000;16404,72749912;94,71303046
producto_8;bajo;0,02000000;0,68000000;15430,69245573;89,77470528
producto_8;medio;0,02000000;0,84000000;16086,32082744;418,85176388
producto_9;alto;0,02000000;1,00000000;13135,36996731;56,95686121
producto_9;bajo;0,02000000;0,67000000;11985,31023171;119,40612262
producto_9;medio;0,02000000;0,82000000;12604,35745404;491,84170323
producto_10;alto;0,02000000;1,00000000;14957,85490426;131,47079323
producto_10;bajo;0,02000000;0,64000000;14184,11378237;68,59914464
producto_10;medio;0,02000000;0,83000000;14321,83879377;449,32280824
