semana;tienda;producto;demanda_real;inventario_disp;precio_optimo;orden_inv_opt;demanda_insatisfecha;costo_var;costo_fijo;binaria_ordenar;venta;costo_orden;costo_orden_fijo;costo_dem_ins;costo_inv;demanda_real_antes;demanda_real_despues;shortage_despues
3;0;9;7015,33;7602,260000000326;5,778952527129799;6500,69;0,0;17,592;530,0;1;202706,3;114360,05;530,0;0,0;1032,53;7015,33;8706,33;1104,069999999674
4;0;9;5713,0;6362,410000000326;28,407108603583588;5775,48;0,0;17,592;530,0;1;162289,81;101602,24;530,0;0,0;1142,44;5713,0;5713,0;0,0
1;1;0;2455,67;4121,0;40,40961351699575;0,0;0,0;28,792;530,0;0;99232,68;0,0;0,0;0,0;4794,82;2455,67;2455,67;0,0
2;1;0;3275,33;1665,33;24,054950230393725;0,0;1610,0;28,792;530,0;0;40059,43;0,0;0,0;3872,85;0,0;3275,33;3275,33;1610,0
3;1;0;2231,33;687,8;8,846682397680787;687,8;1543,53;28,792;530,0;1;30423,74;19803,14;530,0;6827,56;0,0;2231,33;3075,67;2387,87
4;1;0;2602,67;2492,765;48,734723512224285;2492,76;109,9050000000002;28,792;530,0;1;121484,21;71771,69;530,0;535,62;0,0;2602,67;2602,67;109,9050000000002
1;1;1;5516,67;10096,0;21,204772303297652;0,0;0,0;20,792;530,0;0;116979,73;0,0;0,0;0,0;9521,34;5516,67;5516,67;0,0
2;1;1;7130,0;8096,645000000283;28,893625525367437;3517,32;0,0;20,792;530,0;1;206011,55;73132,01;530,0;0,0;2009,85;7130,0;7130,0;0,0
3;1;1;7608,33;8365,085000000283;4,88609469509282;7398,44;0,0;20,792;530,0;1;185875,1;153828,36;530,0;0,0;1573,44;7608,33;9427,0;1061,914999999717
4;1;1;5125,0;6444,315000000285;37,116856427695886;5687,56;0,0;20,792;530,0;1;190223,89;118255,75;530,0;0,0;2743,12;5125,0;5125,0;0,0
1;1;2;3194,33;5021,0;29,798466995375954;0,0;0,0;31,992;530,0;0;95186,14;0,0;0,0;0,0;5843,88;3194,33;3194,33;0,0
2;1;2;2466,0;2743,880000000144;54,96415272655917;917,21;0,0;31,992;530,0;1;135541,6;29343,38;530,0;0,0;888,99;2466,0;2466,0;0,0
3;1;2;2778,0;3136,8450000001435;12,50585582186799;2858,96;0,0;31,992;530,0;1;173706,34;91464,01;530,0;0,0;1148,02;2778,0;5211,67;2074,8249999998566
4;1;2;3188,67;3535,3750000001432;57,28659097037771;3176,53;0,0;31,992;530,0;1;182668,03;101623,55;530,0;0,0;1109,18;3188,67;3188,67;0,0
1;1;3;984,0;1721,0;77,59468280314043;0,0;0,0;52,792;320,0;0;76353,17;0,0;0,0;0,0;3890,77;984,0;984,0;0,0
2;1;3;954,33;1105,2200000000505;81,55770441053158;368,22;0,0;52,792;320,0;1;77832,96;19439,07;320,0;0,0;796,58;954,33;954,33;0,0
3;1;3;1600,0;150,89000000005046;9,088901698871931;0,0;1449,1099999999497;52,792;320,0;0;6857,12;0,0;0,0;6585,41;0,0;1600,0;1964,0;1813,1099999999497
4;1;3;1584,0;1494,7549999999997;55,428394442463066;1494,75;89,24500000000035;52,792;320,0;1;82851,87;78911,11;320,0;494,67;0,0;1584,0;1584,0;89,24500000000035
1;1;4;6219,33;9719,0;22,532721233162956;0,0;0,0;25,592;530,0;0;140138,43;0,0;0,0;0,0;8956,36;6219,33;6219,33;0,0
2;1;4;8805,0;3499,67;36,98283768520786;0,0;5305,33;25,592;530,0;0;129427,73;0,0;0,0;19620,62;0,0;8805,0;8805,0;5305,33
3;1;4;6189,33;5349,8;9,178067267427146;5349,8;839,5299999999997;25,592;530,0;1;245504,12;136912,08;530,0;3852,63;0,0;6189,33;8926,33;3576,5299999999997
4;1;4;5277,67;5737,959999999999;36,1700976961842;5737,96;0,0;25,592;530,0;1;190893,84;146845,87;530,0;0,0;1177,97;5277,67;5277,67;0,0
1;1;5;2079,33;3205,0;56,51695611063307;0,0;0,0;44,8;530,0;0;117517,4;0,0;0,0;0,0;5043,0;2079,33;2079,33;0,0
2;1;5;2540,33;2583,350000000085;57,03348454454835;1457,68;0,0;44,8;530,0;1;144883,87;65304,06;530,0;0,0;192,73;2540,33;2540,33;0,0
3;1;5;2595,33;2574,7350000000843;11,77405166302716;2531,71;20,59499999991567;44,8;530,0;1;151575,31;113420,83;530,0;121,24;0,0;2595,33;3956,0;1381,2649999999157
4;1;5;3062,67;2863,13;41,502306366977805;2863,13;199,53999999999996;44,8;530,0;1;118826,5;128268,22;530,0;828,14;0,0;3062,67;3062,67;199,53999999999996
1;1;6;4456,67;7579,0;99,325949657662;0,0;0,0;62,993;780,0;0;442662,98;0,0;0,0;0,0;19668,49;4456,67;4456,67;0,0
2;1;6;5383,33;5364,41000000023;93,46447096341072;2242,08;18,91999999976997;62,993;780,0;1;501381,74;141235,35;780,0;176,83;0,0;5383,33;5383,33;18,91999999976997
3;1;6;4866,0;5042,230000000002;25,011133732406066;5042,23;0,0;62,993;780,0;1;608520,88;317625,19;780,0;0,0;1110,13;4866,0;12556,33;7514,099999999998
4;1;6;5317,67;5233,775000000004;91,44496179225564;5057,55;83,89499999999589;62,993;780,0;1;478602,35;318589,93;780,0;767,18;0,0;5317,67;5317,67;83,89499999999589
1;1;7;3796,67;5087,0;53,16346331230347;0,0;0,0;46,4925;530,0;0;201844,13;0,0;0,0;0,0;5999,07;3796,67;3796,67;0,0
2;1;7;1911,33;2348,055000000133;97,47910134950764;1057,73;0,0;46,4925;530,0;1;186314,73;49176,28;530,0;0,0;2030,44;1911,33;1911,33;0,0
3;1;7;2910,33;3342,3550000001333;15,135060505300208;2905,63;0,0;46,4925;530,0;1;220240,1;135090,0;530,0;0,0;2008,59;2910,33;5646,0;2303,6449999998667
4;1;7;1792,0;2343,2150000001348;108,02920021092828;1911,19;0,0;46,4925;530,0;1;193588,33;88856,0;530,0;0,0;2562,74;1792,0;1792,0;0,0
1;1;8;2872,67;5817,0;51,58015197189643;0,0;0,0;32,3919;530,0;0;148172,76;0,0;0,0;0,0;9537,24;2872,67;2872,67;0,0
2;1;8;3830,67;2944,33;21,813043109114886;0,0;886,3400000000001;32,3919;530,0;0;64224,8;0,0;0,0;1933,38;0,0;3830,67;3830,67;886,3400000000001
3;1;8;5056,0;0,0;4,390063595066756;0,0;5056,0;32,3919;530,0;0;0,0;0,0;0,0;11098,08;0,0;5056,0;6200,67;6200,67
4;1;8;4070,33;1682,8150000001688;45,01193188477544;1682,82;2387,514999999831;32,3919;530,0;1;75746,75;54509,58;530,0;10746,67;0,0;4070,33;4070,33;2387,514999999831
1;1;9;7110,67;13811,0;29,389943707333416;0,0;0,0;17,592;530,0;0;208982,19;0,0;0,0;0,0;11787,22;7110,67;7110,67;0,0
2;1;9;8707,0;9081,86500000042;30,76803979675437;2381,54;0,0;17,592;530,0;1;267897,32;41895,96;530,0;0,0;659,46;8707,0;8707,0;0,0
3;1;9;8581,33;8949,03000000042;6,337527767807289;8574,17;0,0;17,592;530,0;1;271922,09;150836,71;530,0;0,0;646,86;8581,33;11579,33;2630,299999999579
4;1;9;11008,33;13852,87000000042;31,66112735961056;13485,17;0,0;17,592;530,0;1;348536,14;237231,11;530,0;0,0;5004,11;11008,33;11008,33;0,0
