semana;tienda;producto;demanda_real;inventario_disp;precio_optimo;orden_inv_opt;demanda_insatisfecha;costo_var;costo_fijo;binaria_ordenar;venta;costo_orden;costo_orden_fijo;costo_dem_ins;costo_inv
1;0;0;1970,67;3404,0;38,68964990139965;0,0;0,0;28,792;530,0;0;76244,53;0,0;0,0;0,0;4126,84
2;0;0;2888,33;1433,33;23,38417191638692;0,0;1455,0;28,792;530,0;0;33517,24;0,0;0,0;3402,4;0,0
3;0;0;2561,67;1677,9250000001014;41,765168452210574;1677,93;883,7449999998987;28,792;530,0;1;70078,82;48310,82;530,0;3690,98;0,0
4;0;0;2678,33;2621,785;49,89758871050524;2621,78;56,54500000000007;28,792;530,0;1;130820,75;75486,43;530,0;282,15;0,0
1;0;1;5446,67;8666,0;19,66417065058323;0,0;0,0;20,792;530,0;0;107104,25;0,0;0,0;0,0;6693,63
2;0;1;5283,0;5433,68;25,141564701844892;2214,35;0,0;20,792;530,0;1;132822,89;46040,77;530,0;0,0;313,29
3;0;1;5577,0;5124,340000000003;23,78018050875077;4973,66;452,6599999999971;20,792;530,0;1;121857,73;103412,34;530,0;1076,43;0,0
4;0;1;4899,67;4822,364999999996;33,5430322249673;4822,36;77,30500000000393;20,792;530,0;1;161756,74;100266,61;530,0;259,3;0,0
1;0;2;3381,0;5695,0;28,347288445451525;0,0;0,0;31,992;530,0;0;95842,18;0,0;0,0;0,0;7402,95
2;0;2;4193,67;2313,999999999916;58,08354061749962;0,0;1879,6700000000842;31,992;530,0;0;134405,31;0,0;0,0;10917,79;0,0
3;0;2;3255,67;2259,745000000135;60,29237573398626;2259,75;995,9249999998651;31,992;530,0;1;136245,39;72293,76;530,0;6004,67;0,0
4;0;2;2959,67;2838,545;56,69020048218858;2838,55;121,125;31,992;530,0;1;160917,69;90810,73;530,0;686,66;0,0
1;0;3;1304,33;2235,0;80,74276751962104;0,0;0,0;52,792;320,0;0;105315,21;0,0;0,0;0,0;4913,19
2;0;3;1426,67;1472,435000000067;85,06411869543606;541,77;0,0;52,792;320,0;1;121358,43;28600,86;320,0;0,0;241,6
3;0;3;2325,67;45,76500000006695;44,62429450111015;0,0;2279,9049999999334;52,792;320,0;0;2042,23;0,0;0,0;10173,92;0,0
4;0;3;1982,33;1976,695;53,11891172018265;1976,69;5,634999999999991;52,792;320,0;1;104999,89;104353,68;320,0;29,93;0,0
1;0;4;7884,67;12503,0;19,299230624807183;0,0;0,0;25,592;530,0;0;152168,06;0,0;0,0;0,0;11819,23
2;0;4;7528,33;4618,329999999692;34,28178990940379;0,0;2910,0000000003083;25,592;530,0;0;158324,62;0,0;0,0;9976,0;0,0
3;0;4;10193,33;5531,860000000349;43,57466682462632;5531,86;4661,469999999651;25,592;530,0;1;241048,96;141571,36;530,0;20312,2;0,0
4;0;4;5623,67;5858,920000000003;34,216286183632974;5858,92;0,0;25,592;530,0;1;192421,1;149941,48;530,0;0,0;602,05
1;0;5;1989,0;3345,0;55,07939486292134;0,0;0,0;44,8;530,0;0;109552,92;0,0;0,0;0,0;6074,88
2;0;5;2132,33;2497,1100000000924;53,7002819774462;1141,11;0,0;44,8;530,0;1;114506,72;51121,73;530,0;0,0;1634,21
3;0;5;2824,0;3205,0450000000924;61,12590652761765;2840,26;0,0;44,8;530,0;1;172619,56;127243,87;530,0;0,0;1707,08
4;0;5;3140,0;381,0450000000924;38,46510028849686;0,0;2758,9549999999076;44,8;530,0;0;14656,93;0,0;0,0;10612,35;0,0
1;0;6;4308,33;6582,0;98,51266426379895;0,0;0,0;62,993;780,0;0;424425,07;0,0;0,0;0,0;14322,53
2;0;6;3985,0;4282,645000000182;96,11227828487525;2008,98;0,0;62,993;780,0;1;383007,43;126551,36;780,0;0,0;1874,96
3;0;6;3719,67;3804,0450000001824;123,92346966896778;3506,4;0,0;62,993;780,0;1;460954,41;220878,66;780,0;0,0;531,5
4;0;6;5095,0;5227,085000000181;92,18930295377773;5142,71;0,0;62,993;780,0;1;469704,5;323954,73;780,0;0,0;832,04
